Y	3447153	1
Y	3447154	1
Y	3447155	1
Y	3447156	1
Y	3447157	1
Y	3447158	1
Y	3447159	1
Y	3447160	1
Y	3447161	1
Y	3447162	1
Y	3447163	1
Y	3447164	2
Y	3447165	3
Y	3447166	3
Y	3447167	3
Y	3447168	3
Y	3447169	3
Y	3447170	3
Y	3447171	3
Y	3447172	3
Y	3447173	3
Y	3447174	3
Y	3447175	3
Y	3447176	3
Y	3447177	3
Y	3447178	3
Y	3447179	3
Y	3447180	3
Y	3447181	3
Y	3447182	3
Y	3447183	3
Y	3447184	3
Y	3447185	3
Y	3447186	3
Y	3447187	3
Y	3447188	3
Y	3447189	3
Y	3447190	3
Y	3447191	3
Y	3447192	3
Y	3447193	3
Y	3447194	3
Y	3447195	3
Y	3447196	3
Y	3447197	3
Y	3447198	3
Y	3447199	3
Y	3447200	3
Y	3447201	3
Y	3447202	3
Y	3447203	3
Y	3447204	3
Y	3447205	3
Y	3447206	3
Y	3447207	3
Y	3447208	3
Y	3447209	3
Y	3447210	3
Y	3447211	3
Y	3447212	3
Y	3447213	3
Y	3447214	3
Y	3447215	3
Y	3447216	3
Y	3447217	3
Y	3447218	3
Y	3447219	3
Y	3447220	3
Y	3447221	3
Y	3447222	3
Y	3447223	3
Y	3447224	3
Y	3447225	3
Y	3447226	3
Y	3447227	3
Y	3447228	3
Y	3447229	3
Y	3447230	3
Y	3447231	3
Y	3447232	3
Y	3447233	3
Y	3447234	3
Y	3447235	3
Y	3447236	3
Y	3447237	3
Y	3447238	3
Y	3447239	3
Y	3447240	3
Y	3447241	3
Y	3447242	3
Y	3447243	3
Y	3447244	3
Y	3447245	3
Y	3447246	3
Y	3447247	3
Y	3447248	3
Y	3447249	3
Y	3447250	3
Y	3447251	3
Y	3447252	3
Y	3447253	3
Y	3447254	2
Y	3447255	2
Y	3447256	2
Y	3447257	2
Y	3447258	2
Y	3447259	2
Y	3447260	2
Y	3447261	2
Y	3447262	2
Y	3447263	2
Y	3447264	2
Y	3447265	1
Y	3447319	1
Y	3447320	1
Y	3447321	1
Y	3447322	1
Y	3447323	1
Y	3447324	1
Y	3447325	1
Y	3447326	1
Y	3447327	1
Y	3447328	1
Y	3447329	1
Y	3447330	1
Y	3447331	1
Y	3447332	1
Y	3447333	1
Y	3447334	1
Y	3447335	1
Y	3447336	1
Y	3447337	1
Y	3447338	1
Y	3447339	1
Y	3447340	1
Y	3447341	1
Y	3447342	1
Y	3447343	1
Y	3447344	2
Y	3447345	2
Y	3447346	2
Y	3447347	2
Y	3447348	2
Y	3447349	2
Y	3447350	2
Y	3447351	2
Y	3447352	2
Y	3447353	2
Y	3447354	2
Y	3447355	2
Y	3447356	2
Y	3447357	2
Y	3447358	2
Y	3447359	2
Y	3447360	2
Y	3447361	2
Y	3447362	2
Y	3447363	2
Y	3447364	2
Y	3447365	2
Y	3447366	2
Y	3447367	2
Y	3447368	2
Y	3447369	2
Y	3447370	2
Y	3447371	2
Y	3447372	2
Y	3447373	2
Y	3447374	2
Y	3447375	2
Y	3447376	2
Y	3447377	2
Y	3447378	2
Y	3447379	2
Y	3447380	3
Y	3447381	3
Y	3447382	3
Y	3447383	3
Y	3447384	4
Y	3447385	4
Y	3447386	4
Y	3447387	4
Y	3447388	4
Y	3447389	4
Y	3447390	4
Y	3447391	5
Y	3447392	5
